Idx,Date Added,Behavior gap,Source tags,Description,Filter rubric,Status
298,6/12/26,Output Validation and Interpretation - Validate tool outputs before presenting them or using them in subsequent steps,"Opus Behaviours, Tool Calling, Output Validation and Interpretation","Validate tool outputs before presenting them or using them in subsequent steps. If output is unexpected or contradicts other information, investigate rather than blindly trusting it.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
303,6/12/26,"Test Coverage and Completeness - Test the happy path , edge cases , and boundary conditions","Opus Behaviours, Unit Test Generation, Test Coverage and Completeness","Test the happy path (expected normal usage), edge cases (empty inputs, null/None values, special characters), and boundary conditions (off-by-one errors, zero/negative values, single-element collections, maximum/minimum values for the data type).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
304,6/12/26,Test Coverage and Completeness - Cover error conditions and failure modes explicitly  -  verify that the code,"Opus Behaviours, Unit Test Generation, Test Coverage and Completeness","Cover error conditions and failure modes explicitly  -  verify that the code raises the correct exceptions, returns appropriate error codes, or handles invalid input gracefully.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
305,6/12/26,Test Coverage and Completeness - Ensure all significant branches and code paths are exercised,"Opus Behaviours, Unit Test Generation, Test Coverage and Completeness","Ensure all significant branches and code paths are exercised. If a function has conditional logic, write tests that cover each branch.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
306,6/12/26,"Test Coverage and Completeness - Consider concurrency and timing-related edge cases when the code involves parallel execution,","Opus Behaviours, Unit Test Generation, Test Coverage and Completeness","Consider concurrency and timing-related edge cases when the code involves parallel execution, async operations, or shared state.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
313,6/12/26,Test Structure and Patterns - Keep tests independent and isolated  -  each test should set up its,"Opus Behaviours, Unit Test Generation, Test Structure and Patterns","Keep tests independent and isolated  -  each test should set up its own state, not depend on the order of execution or on state left by other tests.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
318,6/12/26,"Assertions and Verification - Assert on meaningful outcomes, not implementation details","Opus Behaviours, Unit Test Generation, Assertions and Verification","Assert on meaningful outcomes, not implementation details. Test what the code does, not how it does it internally.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
319,6/12/26,"Assertions and Verification - When testing floating-point values, use approximate comparisons with appropriate tolerances rather than","Opus Behaviours, Unit Test Generation, Assertions and Verification","When testing floating-point values, use approximate comparisons with appropriate tolerances rather than exact equality.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
320,6/12/26,"Assertions and Verification - Verify both the return value and any important side effects , but","Opus Behaviours, Unit Test Generation, Assertions and Verification","Verify both the return value and any important side effects (e.g., database writes, file modifications, events emitted), but do not over-assert on irrelevant state.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
321,6/12/26,"Assertions and Verification - When testing exceptions, verify both the exception type and the error message","Opus Behaviours, Unit Test Generation, Assertions and Verification","When testing exceptions, verify both the exception type and the error message (or key contents of it) to ensure the right error is raised for the right reason.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
322,6/12/26,Assertions and Verification - Include negative assertions where appropriate  -  verifying that something did not happen,"Opus Behaviours, Unit Test Generation, Assertions and Verification",Include negative assertions where appropriate  -  verifying that something did not happen can be as important as verifying that something did.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
323,6/12/26,"Assertions and Verification - Verify the type, shape, or structure of return values  in addition to","Opus Behaviours, Unit Test Generation, Assertions and Verification","Verify the type, shape, or structure of return values (e.g., list vs. generator, expected dictionary keys, DataFrame columns) in addition to their content.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
324,6/12/26,"Mocking and Test Doubles - Mock external dependencies  to keep unit tests fast, deterministic, and isolated","Opus Behaviours, Unit Test Generation, Mocking and Test Doubles","Mock external dependencies (network calls, databases, file systems, third-party APIs, time/clock) to keep unit tests fast, deterministic, and isolated.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
325,6/12/26,Mocking and Test Doubles - Mock at the right level of abstraction  -  mock the interface the,"Opus Behaviours, Unit Test Generation, Mocking and Test Doubles","Mock at the right level of abstraction  -  mock the interface the code under test interacts with, not deep internal implementation details.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
326,6/12/26,Mocking and Test Doubles - Verify that mocks are called with the expected arguments when the interaction,"Opus Behaviours, Unit Test Generation, Mocking and Test Doubles",Verify that mocks are called with the expected arguments when the interaction is part of the contract being tested.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
327,6/12/26,Mocking and Test Doubles - Avoid excessive mocking that makes the test tautological,"Opus Behaviours, Unit Test Generation, Mocking and Test Doubles","Avoid excessive mocking that makes the test tautological (testing that your mocks work, not that the code works). If you need to mock everything, the unit may be too tightly coupled.",Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
329,6/12/26,"Mocking and Test Doubles - When using mock return values, use realistic data that exercises the code","Opus Behaviours, Unit Test Generation, Mocking and Test Doubles","When using mock return values, use realistic data that exercises the code path properly, not arbitrary placeholder values.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
330,6/12/26,Test Data and Fixtures - Use realistic but deterministic test data,"Opus Behaviours, Unit Test Generation, Test Data and Fixtures","Use realistic but deterministic test data. Avoid randomness in tests unless specifically testing stochastic behaviour (and even then, use fixed seeds).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
334,6/12/26,"Test Data and Fixtures - When testing with files, databases, or other external resources, use temporary/in-memory versions","Opus Behaviours, Unit Test Generation, Test Data and Fixtures","When testing with files, databases, or other external resources, use temporary/in-memory versions and clean up after the test.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
335,6/12/26,Following Project Conventions - Match the project's existing test framework  and assertion style rather than introducing,"Opus Behaviours, Unit Test Generation, Following Project Conventions","Match the project's existing test framework (pytest, unittest, etc.) and assertion style rather than introducing a different one.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
336,6/12/26,Following Project Conventions - Place test files in the expected location,"Opus Behaviours, Unit Test Generation, Following Project Conventions","Place test files in the expected location (e.g., `tests/` directory mirroring the source structure, or co-located with source files if that is the convention).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
338,6/12/26,"Following Project Conventions - If the project has custom test utilities, base classes, or helpers that","Opus Behaviours, Unit Test Generation, Following Project Conventions","If the project has custom test utilities, base classes, or helpers that are visible in the provided context, use them rather than reinventing equivalent functionality.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
339,6/12/26,"Following Project Conventions - When execution capability is available, run the test suite after writing tests","Opus Behaviours, Unit Test Generation, Following Project Conventions","When execution capability is available, run the test suite after writing tests to verify they pass and do not break existing tests.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
340,6/12/26,"Following Project Conventions - When generating tests for non-Python code, use the idiomatic testing framework and","Opus Behaviours, Unit Test Generation, Following Project Conventions","When generating tests for non-Python code, use the idiomatic testing framework and assertion style for that language (e.g., JUnit for Java, Jest for JavaScript, Google Test for C++, go test for Go).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
343,6/12/26,Test Quality and Maintainability - Do not write tests that always pass regardless of the code's behaviour,"Opus Behaviours, Unit Test Generation, Test Quality and Maintainability","Do not write tests that always pass regardless of the code's behaviour (e.g., empty test bodies, assertions on constants). Every test should be capable of failing.",Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
345,6/12/26,"Test Quality and Maintainability - When generating tests for code that already has an existing test file,","Opus Behaviours, Unit Test Generation, Test Quality and Maintainability","When generating tests for code that already has an existing test file, review existing tests for staleness and flag (but do not silently delete) any that appear to test removed functionality.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
347,6/12/26,"Test Quality and Maintainability - When feasible, verify that tests actually detect regressions  -  a test that","Opus Behaviours, Unit Test Generation, Test Quality and Maintainability","When feasible, verify that tests actually detect regressions  -  a test that passes regardless of whether the code is correct has no value. Consider whether temporarily breaking the code under test would cause the test to fail.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
348,6/12/26,Test Quality and Maintainability - Always ensure the generated test file is syntactically valid and all imports,"Opus Behaviours, Unit Test Generation, Test Quality and Maintainability","Always ensure the generated test file is syntactically valid and all imports resolve correctly.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
349,6/12/26,Performance and Practicality - Keep unit tests fast  -  they should run in milliseconds to low,"Opus Behaviours, Unit Test Generation, Performance and Practicality",Keep unit tests fast  -  they should run in milliseconds to low hundreds of milliseconds. Slow tests reduce developer productivity and get skipped.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
351,6/12/26,"Performance and Practicality - Do not make network calls, spawn subprocesses, or perform heavy I/O in","Opus Behaviours, Unit Test Generation, Performance and Practicality","Do not make network calls, spawn subprocesses, or perform heavy I/O in unit tests. These belong in integration or end-to-end tests.",Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
352,6/12/26,"Performance and Practicality - When generating a large number of parametrised test cases, ensure the combinatorial","Opus Behaviours, Unit Test Generation, Performance and Practicality","When generating a large number of parametrised test cases, ensure the combinatorial explosion is intentional and valuable, not accidental.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
