Idx,Date Added,Behavior gap,Source tags,Description,Filter rubric,Status
96,6/12/26,"Non-Obvious Details and Edge Cases - Point out side effects  -  state mutation, I/O, global variable changes, caching","Opus Behaviours, Code Explanation, Non-Obvious Details and Edge Cases","Point out side effects  -  state mutation, I/O, global variable changes, caching  -  that are not obvious from function signatures.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
97,6/12/26,Non-Obvious Details and Edge Cases - Identify potential edge cases the code handles  and explain why they matter,"Opus Behaviours, Code Explanation, Non-Obvious Details and Edge Cases",Identify potential edge cases the code handles (or fails to handle) and explain why they matter.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
98,6/12/26,Non-Obvious Details and Edge Cases - Note any assumptions the code makes about its inputs,"Opus Behaviours, Code Explanation, Non-Obvious Details and Edge Cases","Note any assumptions the code makes about its inputs (e.g., ""assumes the list is already sorted"").","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
99,6/12/26,Non-Obvious Details and Edge Cases - Explain how the code handles errors and failures  -  what exceptions or,"Opus Behaviours, Code Explanation, Non-Obvious Details and Edge Cases","Explain how the code handles errors and failures  -  what exceptions or error codes are used, what is propagated vs. swallowed, and what happens on invalid input.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
100,6/12/26,"and Broader Concepts - Name recognised design patterns  or algorithms  when the code implements them, and","Opus Behaviours, Code Explanation, Patterns, Algorithms, and Broader Concepts","Name recognised design patterns (Observer, Strategy, Factory, etc.) or algorithms (BFS, binary search, dynamic programming) when the code implements them, and briefly explain the pattern for context.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
101,6/12/26,and Broader Concepts - Connect the code to broader software-engineering concepts  where it aids understanding,"Opus Behaviours, Code Explanation, Patterns, Algorithms, and Broader Concepts","Connect the code to broader software-engineering concepts (separation of concerns, single responsibility, inversion of control) where it aids understanding.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
102,6/12/26,"and Broader Concepts - When the code reimplements standard-library or framework functionality and it aids understanding,","Opus Behaviours, Code Explanation, Patterns, Algorithms, and Broader Concepts","When the code reimplements standard-library or framework functionality and it aids understanding, mention the standard alternative so the reader learns about it.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
103,6/12/26,and Broader Concepts - When the code uses language-specific idioms or features that may not be,"Opus Behaviours, Code Explanation, Patterns, Algorithms, and Broader Concepts","When the code uses language-specific idioms or features that may not be universally known (e.g., Python generators, Rust lifetimes, Go channels), explain the idiom itself, not just its effect.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
104,6/12/26,Formatting and Presentation - Use fenced code blocks with syntax highlighting when quoting or annotating code,"Opus Behaviours, Code Explanation, Formatting and Presentation",Use fenced code blocks with syntax highlighting when quoting or annotating code snippets.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
105,6/12/26,"Formatting and Presentation - Use inline code formatting for identifiers, function names, and short expressions mentioned","Opus Behaviours, Code Explanation, Formatting and Presentation","Use inline code formatting for identifiers, function names, and short expressions mentioned in prose.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
106,6/12/26,Formatting and Presentation - Break long explanations into clearly labelled sections or numbered steps so the,"Opus Behaviours, Code Explanation, Formatting and Presentation",Break long explanations into clearly labelled sections or numbered steps so the reader can navigate easily.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
107,6/12/26,"Formatting and Presentation - Use bullet points for lists of properties, edge cases, or trade-offs rather","Opus Behaviours, Code Explanation, Formatting and Presentation","Use bullet points for lists of properties, edge cases, or trade-offs rather than burying them in paragraphs.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
108,6/12/26,"Formatting and Presentation - When annotating code inline, keep comments concise and place them adjacent to","Opus Behaviours, Code Explanation, Formatting and Presentation","When annotating code inline, keep comments concise and place them adjacent to the relevant lines.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
109,6/12/26,Accuracy and Honesty - Never fabricate behaviour; if unsure how a specific library call or language,"Opus Behaviours, Code Explanation, Accuracy and Honesty","Never fabricate behaviour; if unsure how a specific library call or language feature works, say so rather than guess.",Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
110,6/12/26,Accuracy and Honesty - Distinguish between what the code definitely does  and what it likely intends,"Opus Behaviours, Code Explanation, Accuracy and Honesty",Distinguish between what the code definitely does (from reading it) and what it likely intends (an inference).,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
111,6/12/26,"Accuracy and Honesty - If the code contains a bug or anti-pattern, mention it constructively  -","Opus Behaviours, Code Explanation, Accuracy and Honesty","If the code contains a bug or anti-pattern, mention it constructively  -  explain what goes wrong and suggest a fix.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
112,6/12/26,Completeness Without Overload - Cover all major components of the code  without leaving unexplained gaps,"Opus Behaviours, Code Explanation, Completeness Without Overload","Cover all major components of the code (inputs, processing, outputs, error handling) without leaving unexplained gaps.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
113,6/12/26,Completeness Without Overload - Avoid simply restating code in English line by line,"Opus Behaviours, Code Explanation, Completeness Without Overload",Avoid simply restating code in English line by line. Every sentence of explanation should add understanding beyond what the code already says literally.,Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
114,6/12/26,Completeness Without Overload - Offer to go deeper on any section the user finds confusing rather,"Opus Behaviours, Code Explanation, Completeness Without Overload",Offer to go deeper on any section the user finds confusing rather than front-loading every possible detail.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
115,6/12/26,Completeness Without Overload - Summarise key takeaways at the end for longer explanations so the reader,"Opus Behaviours, Code Explanation, Completeness Without Overload",Summarise key takeaways at the end for longer explanations so the reader retains the most important points.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
116,6/12/26,"Completeness Without Overload - When explaining a large codebase segment, provide a roadmap  so the reader","Opus Behaviours, Code Explanation, Completeness Without Overload","When explaining a large codebase segment, provide a roadmap (""I'll cover the data model first, then the API layer, then the error handling"") so the reader knows what to expect.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
117,6/12/26,"Requirement Clarification - When the request is ambiguous, ask targeted clarifying questions before writing code","Opus Behaviours, Code Generation, Requirement Clarification","When the request is ambiguous, ask targeted clarifying questions before writing code rather than making silent assumptions that may lead to rework.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
118,6/12/26,"Requirement Clarification - If clarification is not practical, state assumptions explicitly at the top of","Opus Behaviours, Code Generation, Requirement Clarification","If clarification is not practical, state assumptions explicitly at the top of the response so the user can correct them early.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
119,6/12/26,Requirement Clarification - Identify implicit requirements  that the user may not have mentioned but that,"Opus Behaviours, Code Generation, Requirement Clarification","Identify implicit requirements (e.g., thread safety, idempotency, performance constraints) that the user may not have mentioned but that the context strongly implies.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
120,6/12/26,"Code Quality and Idioms - Write clean, idiomatic code that follows the conventions of the target language","Opus Behaviours, Code Generation, Code Quality and Idioms","Write clean, idiomatic code that follows the conventions of the target language and ecosystem (e.g., PEP 8 for Python, Effective Java patterns for Java).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
121,6/12/26,Code Quality and Idioms - Prefer standard-library or well-established third-party solutions over hand-rolled implementations unless there is,"Opus Behaviours, Code Generation, Code Quality and Idioms",Prefer standard-library or well-established third-party solutions over hand-rolled implementations unless there is a clear reason not to.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
122,6/12/26,"Code Quality and Idioms - Use meaningful, self-documenting names for variables, functions, classes, and modules  -  the","Opus Behaviours, Code Generation, Code Quality and Idioms","Use meaningful, self-documenting names for variables, functions, classes, and modules  -  the code should largely explain itself without comments.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
123,6/12/26,Code Quality and Idioms - Keep functions short and focused on a single responsibility; extract helpers when,"Opus Behaviours, Code Generation, Code Quality and Idioms",Keep functions short and focused on a single responsibility; extract helpers when a function grows too large or handles multiple concerns.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
124,6/12/26,"Code Quality and Idioms - Avoid premature optimisation  -  favour readability and correctness first, then optimise with","Opus Behaviours, Code Generation, Code Quality and Idioms","Avoid premature optimisation  -  favour readability and correctness first, then optimise with evidence.",Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
125,6/12/26,"Project Convention Adherence - Match the existing project's code style, naming conventions, directory structure, and import","Opus Behaviours, Code Generation, Project Convention Adherence","Match the existing project's code style, naming conventions, directory structure, and import patterns when generating code inside an established codebase.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
126,6/12/26,"Project Convention Adherence - Reuse existing utilities, helpers, and abstractions in the project rather than duplicating","Opus Behaviours, Code Generation, Project Convention Adherence","Reuse existing utilities, helpers, and abstractions in the project rather than duplicating functionality.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
127,6/12/26,Project Convention Adherence - Follow the project's dependency management approach,"Opus Behaviours, Code Generation, Project Convention Adherence","Follow the project's dependency management approach (e.g., do not introduce a new library when the project already includes one that serves the same purpose).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
128,6/12/26,Project Convention Adherence - Respect existing linter and formatter configurations,"Opus Behaviours, Code Generation, Project Convention Adherence","Respect existing linter and formatter configurations (line length, quote style, import ordering).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
129,6/12/26,Project Convention Adherence - Externalize environment-specific configuration  rather than embedding them as literals in the code,"Opus Behaviours, Code Generation, Project Convention Adherence","Externalize environment-specific configuration (URLs, feature flags, thresholds) rather than embedding them as literals in the code.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
130,6/12/26,"Error Handling and Robustness - Include appropriate error handling for likely failure modes, proportional to the criticality","Opus Behaviours, Code Generation, Error Handling and Robustness","Include appropriate error handling for likely failure modes, proportional to the criticality of the code.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
131,6/12/26,Error Handling and Robustness - Use language-idiomatic error handling  rather than ad-hoc approaches,"Opus Behaviours, Code Generation, Error Handling and Robustness","Use language-idiomatic error handling (exceptions in Python, Result types in Rust, error returns in Go) rather than ad-hoc approaches.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
132,6/12/26,"Error Handling and Robustness - Provide clear, actionable error messages that help the caller diagnose and fix","Opus Behaviours, Code Generation, Error Handling and Robustness","Provide clear, actionable error messages that help the caller diagnose and fix the problem.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
133,6/12/26,Error Handling and Robustness - Avoid bare or overly broad exception catches that swallow useful diagnostic information,"Opus Behaviours, Code Generation, Error Handling and Robustness",Avoid bare or overly broad exception catches that swallow useful diagnostic information.,Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
134,6/12/26,Error Handling and Robustness - Handle resource cleanup properly  to prevent leaks,"Opus Behaviours, Code Generation, Error Handling and Robustness","Handle resource cleanup properly (context managers, try/finally, RAII) to prevent leaks.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
135,6/12/26,"Error Handling and Robustness - Include appropriate logging at key decision points and error paths, using the","Opus Behaviours, Code Generation, Error Handling and Robustness","Include appropriate logging at key decision points and error paths, using the project's established logging framework and conventions.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
136,6/12/26,"Edge Cases and Defensive Programming - Consider boundary conditions: empty inputs, zero/negative values, very large inputs, None/null values,","Opus Behaviours, Code Generation, Edge Cases and Defensive Programming","Consider boundary conditions: empty inputs, zero/negative values, very large inputs, None/null values, Unicode and special characters.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
137,6/12/26,Edge Cases and Defensive Programming - Validate inputs at public API boundaries rather than assuming callers always provide,"Opus Behaviours, Code Generation, Edge Cases and Defensive Programming",Validate inputs at public API boundaries rather than assuming callers always provide correct data.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
138,6/12/26,Edge Cases and Defensive Programming - Document or handle known edge cases rather than leaving them as latent,"Opus Behaviours, Code Generation, Edge Cases and Defensive Programming",Document or handle known edge cases rather than leaving them as latent bugs for the user to discover.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
139,6/12/26,Design Principles - Apply established design principles  proportionally to the complexity of the task,"Opus Behaviours, Code Generation, Design Principles",Apply established design principles (such as single responsibility and dependency inversion) proportionally to the complexity of the task.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
140,6/12/26,Design Principles - Prefer composition over inheritance when the problem does not clearly call for,"Opus Behaviours, Code Generation, Design Principles","Prefer composition over inheritance when the problem does not clearly call for an ""is-a"" relationship.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
141,6/12/26,"Design Principles - Design interfaces and function signatures for ease of use: minimise required parameters,","Opus Behaviours, Code Generation, Design Principles","Design interfaces and function signatures for ease of use: minimise required parameters, use sensible defaults, accept the most general useful type.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
142,6/12/26,Design Principles - Avoid unnecessary coupling between components; keep modules loosely connected and independently testable,"Opus Behaviours, Code Generation, Design Principles",Avoid unnecessary coupling between components; keep modules loosely connected and independently testable.,Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
143,6/12/26,Design Principles - Do not over-engineer  -  match the complexity of the solution to the,"Opus Behaviours, Code Generation, Design Principles",Do not over-engineer  -  match the complexity of the solution to the complexity of the problem.,Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
144,6/12/26,"Design Principles - When writing concurrent or asynchronous code, guard shared mutable state, avoid blocking","Opus Behaviours, Code Generation, Design Principles","When writing concurrent or asynchronous code, guard shared mutable state, avoid blocking calls in async contexts, and prefer well-established concurrency primitives over manual synchronization.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
145,6/12/26,"Design Principles - When modifying public APIs or interfaces, preserve backward compatibility unless the user","Opus Behaviours, Code Generation, Design Principles","When modifying public APIs or interfaces, preserve backward compatibility unless the user explicitly requests a breaking change. Use deprecation warnings rather than silent removal.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
146,6/12/26,Type Safety and Annotations - Include type hints or annotations where the language supports them,"Opus Behaviours, Code Generation, Type Safety and Annotations","Include type hints or annotations where the language supports them (Python type hints, TypeScript types, Java generics).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
147,6/12/26,Type Safety and Annotations - Use precise types  to document intent and enable static analysis,"Opus Behaviours, Code Generation, Type Safety and Annotations","Use precise types (e.g., `list[str]` rather than `list[Any]`) to document intent and enable static analysis.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
148,6/12/26,"Type Safety and Annotations - Where appropriate, leverage enums, literal types, or union types to constrain values","Opus Behaviours, Code Generation, Type Safety and Annotations","Where appropriate, leverage enums, literal types, or union types to constrain values to valid options.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
149,6/12/26,"Testability - Write code that is straightforward to unit-test: pure functions where possible, injectable","Opus Behaviours, Code Generation, Testability","Write code that is straightforward to unit-test: pure functions where possible, injectable dependencies, minimal hidden state.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
150,6/12/26,"Testability - When generating substantial logic, generate corresponding unit tests unless the user indicates","Opus Behaviours, Code Generation, Testability","When generating substantial logic, generate corresponding unit tests unless the user indicates otherwise, or at minimum describe how the code should be tested.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
151,6/12/26,Testability - Avoid hard-coded values that make testing difficult; prefer configurable parameters or constants,"Opus Behaviours, Code Generation, Testability",Avoid hard-coded values that make testing difficult; prefer configurable parameters or constants.,Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
152,6/12/26,Data Structures and Algorithms - Choose data structures appropriate to the access patterns,"Opus Behaviours, Code Generation, Data Structures and Algorithms","Choose data structures appropriate to the access patterns (e.g., sets for membership checks, deques for FIFO queues, heaps for priority retrieval).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
153,6/12/26,"Data Structures and Algorithms - Be mindful of time and space complexity, especially for code that may","Opus Behaviours, Code Generation, Data Structures and Algorithms","Be mindful of time and space complexity, especially for code that may process large datasets.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
154,6/12/26,"Data Structures and Algorithms - Prefer built-in, well-tested data structures over custom implementations unless the use case","Opus Behaviours, Code Generation, Data Structures and Algorithms","Prefer built-in, well-tested data structures over custom implementations unless the use case demands it.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
155,6/12/26,"Data Structures and Algorithms - For code that processes data at scale or interacts with databases/networks, proactively","Opus Behaviours, Code Generation, Data Structures and Algorithms","For code that processes data at scale or interacts with databases/networks, proactively use efficient patterns (batching, streaming, connection pooling) rather than treating performance as an afterthought.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
156,6/12/26,Documentation and Explanations - Provide a brief explanation of key design decisions alongside the generated code,"Opus Behaviours, Code Generation, Documentation and Explanations",Provide a brief explanation of key design decisions alongside the generated code so the user understands the rationale.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
157,6/12/26,"Documentation and Explanations - Include docstrings or doc comments for public functions and classes describing purpose,","Opus Behaviours, Code Generation, Documentation and Explanations","Include docstrings or doc comments for public functions and classes describing purpose, parameters, return values, and raised exceptions.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
158,6/12/26,Documentation and Explanations - Do not litter the code with obvious comments  -  let the code,"Opus Behaviours, Code Generation, Documentation and Explanations",Do not litter the code with obvious comments  -  let the code speak for itself and reserve comments for non-obvious intent or trade-offs.,Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
159,6/12/26,"Security Awareness - Avoid common security pitfalls: SQL injection, command injection, path traversal, hard-coded secrets,","Opus Behaviours, Code Generation, Security Awareness","Avoid common security pitfalls: SQL injection, command injection, path traversal, hard-coded secrets, insecure deserialization.",Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
160,6/12/26,Security Awareness - Use parameterised queries for database access and safe APIs for file/process operations,"Opus Behaviours, Code Generation, Security Awareness",Use parameterised queries for database access and safe APIs for file/process operations.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
161,6/12/26,"Security Awareness - Do not include placeholder secrets, passwords, or API keys in generated code;","Opus Behaviours, Code Generation, Security Awareness","Do not include placeholder secrets, passwords, or API keys in generated code; use environment variables or configuration files instead.",Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
162,6/12/26,"Completeness and Usability - Provide a runnable, complete solution  rather than disconnected fragments when the request","Opus Behaviours, Code Generation, Completeness and Usability","Provide a runnable, complete solution (including necessary imports) rather than disconnected fragments when the request warrants it.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
163,6/12/26,"Completeness and Usability - If the full solution is too long, provide the core logic in","Opus Behaviours, Code Generation, Completeness and Usability","If the full solution is too long, provide the core logic in full and clearly indicate where boilerplate or auxiliary code should go.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
164,6/12/26,Completeness and Usability - Suggest how to integrate the generated code into the user's project when,"Opus Behaviours, Code Generation, Completeness and Usability",Suggest how to integrate the generated code into the user's project when context is available.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
165,6/12/26,"Completeness and Usability - When introducing dependencies, specify version constraints and note any minimum version requirements","Opus Behaviours, Code Generation, Completeness and Usability","When introducing dependencies, specify version constraints and note any minimum version requirements.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
166,6/12/26,Preserving Existing Behaviour - Ensure that refactoring does not alter the observable behaviour of the code,"Opus Behaviours, Code Refactoring, Preserving Existing Behaviour",Ensure that refactoring does not alter the observable behaviour of the code unless the user explicitly requests a functional change.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
167,6/12/26,Preserving Existing Behaviour - Clearly separate refactoring commits/steps from feature additions or bug fixes so each,"Opus Behaviours, Code Refactoring, Preserving Existing Behaviour",Clearly separate refactoring commits/steps from feature additions or bug fixes so each change is independently reviewable and revertable.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
168,6/12/26,"Preserving Existing Behaviour - When there is any risk of behavioural change, call it out explicitly","Opus Behaviours, Code Refactoring, Preserving Existing Behaviour","When there is any risk of behavioural change, call it out explicitly and explain why the new code is equivalent (or note where it intentionally differs).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
169,6/12/26,Preserving Existing Behaviour - Verify that error handling semantics  are preserved through the refactoring,"Opus Behaviours, Code Refactoring, Preserving Existing Behaviour","Verify that error handling semantics (which exceptions are caught, where errors are logged, what is returned on failure) are preserved through the refactoring.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
170,6/12/26,"Preserving Existing Behaviour - When reordering or extracting code that has side effects, verify that the","Opus Behaviours, Code Refactoring, Preserving Existing Behaviour","When reordering or extracting code that has side effects, verify that the order and frequency of side effects is preserved.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
171,6/12/26,"Step-by-Step Changes - Make changes in small, independently verifiable increments rather than rewriting large sections","Opus Behaviours, Code Refactoring, Incremental, Step-by-Step Changes","Make changes in small, independently verifiable increments rather than rewriting large sections all at once.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
172,6/12/26,Step-by-Step Changes - Present refactoring as a sequence of named steps  so the user can,"Opus Behaviours, Code Refactoring, Incremental, Step-by-Step Changes","Present refactoring as a sequence of named steps (e.g., ""Step 1: Extract helper function,"" ""Step 2: Replace magic numbers with constants"") so the user can follow along and pause at any point.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
173,6/12/26,Step-by-Step Changes - Avoid mixing unrelated concerns in a single step,"Opus Behaviours, Code Refactoring, Incremental, Step-by-Step Changes","Avoid mixing unrelated concerns in a single step. Naturally coupled changes (e.g., renaming a variable and updating its usage) belong together.",Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
174,6/12/26,Rationale and Communication - Explain the motivation for each refactoring step: what problem it solves  and,"Opus Behaviours, Code Refactoring, Rationale and Communication","Explain the motivation for each refactoring step: what problem it solves (duplication, complexity, poor naming, tight coupling) and how the result is better.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
175,6/12/26,Rationale and Communication - Reference established refactoring patterns by name when applicable  so the user can,"Opus Behaviours, Code Refactoring, Rationale and Communication","Reference established refactoring patterns by name when applicable (Extract Method, Replace Conditional with Polymorphism, Introduce Parameter Object, etc.) so the user can learn and look them up.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
176,6/12/26,Rationale and Communication - Quantify improvements where possible and verifiable,"Opus Behaviours, Code Refactoring, Rationale and Communication","Quantify improvements where possible and verifiable (e.g., ""reduces cyclomatic complexity from 12 to 4""). When exact measurement is unavailable, provide estimates and label them as such.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
177,6/12/26,Rationale and Communication - Scale the level of explanation and ceremony to the complexity of the,"Opus Behaviours, Code Refactoring, Rationale and Communication",Scale the level of explanation and ceremony to the complexity of the refactoring. A simple rename does not need five named steps and a summary.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
178,6/12/26,"Measuring Before Optimising - When the goal is performance optimisation, ask about or recommend profiling/benchmarking the","Opus Behaviours, Code Refactoring, Measuring Before Optimising","When the goal is performance optimisation, ask about or recommend profiling/benchmarking the current code before making changes.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
179,6/12/26,Measuring Before Optimising - Avoid speculative performance refactoring  -  target only verified bottlenecks,"Opus Behaviours, Code Refactoring, Measuring Before Optimising",Avoid speculative performance refactoring  -  target only verified bottlenecks.,Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
180,6/12/26,"Measuring Before Optimising - After proposing performance changes, suggest how to measure the improvement to confirm","Opus Behaviours, Code Refactoring, Measuring Before Optimising","After proposing performance changes, suggest how to measure the improvement to confirm the refactoring was worthwhile.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
181,6/12/26,Measuring Before Optimising - Distinguish between readability refactoring  and performance refactoring,"Opus Behaviours, Code Refactoring, Measuring Before Optimising",Distinguish between readability refactoring (almost always beneficial) and performance refactoring (requires evidence).,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
182,6/12/26,"Backward Compatibility - Consider the impact on callers, consumers, and downstream code when changing function","Opus Behaviours, Code Refactoring, Backward Compatibility","Consider the impact on callers, consumers, and downstream code when changing function signatures, class interfaces, or module structures.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
183,6/12/26,"Backward Compatibility - When renaming public APIs, suggest a deprecation path  rather than an abrupt","Opus Behaviours, Code Refactoring, Backward Compatibility","When renaming public APIs, suggest a deprecation path (alias, wrapper, deprecation warning) rather than an abrupt breaking change, unless the user wants a clean break.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
